"Comparison";"Gene";"Direction"
"JFYL007_116";"YALI1_D07252g";1
"JFYL007_116";"YALI1_E28097g";1
"JFYL007_116";"YALI1_D07257g";1
"JFYL007_116";"YALI1_B05639g";1
"JFYL007_116";"YALI1_C01505g";1
"JFYL007_116";"YALI1_A01298g";1
"JFYL007_116";"YALI1_F35753g";1
"JFYL007_116";"YALI1_D03380g";1
"JFYL007_116";"YALI1_F18641g";1
"JFYL007_116";"YALI1_D10243g";2
"JFYL007_116";"YALI1_D01548g";2
"JFYL007_3";"YALI1_C01505g";1
"JFYL007_3";"YALI1_A01298g";1
"JFYL007_3";"YALI1_C01520g";1
"JFYL007_3";"YALI1_F23616g";1
"JFYL007_3";"YALI1_E08689g";1
"JFYL007_3";"YALI1_A08115g";2
"JFYL007_3";"YALI1_E31154g";2
"JFYL007_3";"YALI1_A15846g";2
"JFYL007_3";"YALI1_B06134g";2
"JFYL007_3";"YALI1_F10184g";2
"JFYL007_3";"YALI1_F13170g";2
"OKYL029_116";"YALI1_A01298g";1
"OKYL029_116";"YALI1_B05639g";1
"OKYL029_116";"YALI1_D07252g";1
"OKYL029_116";"YALI1_C01505g";1
"OKYL029_116";"YALI1_D07257g";1
"OKYL029_116";"YALI1_F23616g";1
"OKYL029_116";"YALI1_E08689g";1
"OKYL029_116";"YALI1_B05609g";1
"OKYL029_116";"YALI1_C01576g";1
"OKYL029_116";"YALI1_E12893g";2
"OKYL029_116";"YALI1_E12919g";2
"OKYL029_116";"YALI1_A01394g";2
"OKYL029_116";"YALI1_C13817g";2
"OKYL029_116";"YALI1_D17336g";2
"OKYL029_116";"YALI1_A07161g";2
"OKYL029_116";"YALI1_F21989g";2
"OKYL029_116";"YALI1_E28052g";2
"OKYL029_3";"YALI1_C01505g";1
"OKYL029_3";"YALI1_A01298g";1
"OKYL029_3";"YALI1_F23616g";1
"OKYL029_3";"YALI1_C01520g";1
"OKYL029_3";"YALI1_C29576g";1
"OKYL029_3";"YALI1_D00848g";1
"OKYL029_3";"YALI1_E08689g";1
"OKYL029_3";"YALI1_F23925g";1
"OKYL029_3";"YALI1_E32152g";1
"OKYL029_3";"YALI1_D33879g";1
"OKYL029_3";"YALI1_F14368g";1
"OKYL029_3";"YALI1_E27791g";1
"OKYL029_3";"YALI1_D00352g";1
"OKYL029_3";"YALI1_C04690g";1
"OKYL029_3";"YALI1_F04690g";1
"OKYL029_3";"YALI1_E27625g";2
"OKYL029_3";"YALI1_E27406g";2
"OKYL029_3";"YALI1_E22503g";2
"OKYL029_3";"YALI1_D04512g";2
"OKYL029_3";"YALI1_A16918g";2
"OKYL029_3";"YALI1_E22126g";2
"OKYL029_3";"YALI1_A16944g";2
"OKYL029_3";"YALI1_E21552g";2
"OKYL029_3";"YALI1_F13170g";2
"OKYL029_3";"YALI1_E21535g";2
"OKYL029_3";"YALI1_E21555g";2
"OKYL029_3";"YALI1_D08621g";2
"OKYL029_3";"YALI1_A16952g";2
"OKYL029_3";"YALI1_B30303g";2
"OKYL029_3";"YALI1_E31154g";2
"OKYL029_3";"YALI1_D20496g";2
"OKYL029_3";"YALI1_E12952g";2
"OKYL029_3";"YALI1_F11635g";2
"OKYL029_3";"YALI1_F21676g";2
"OKYL029_3";"YALI1_D16354g";2
"OKYL029_3";"YALI1_C21544g";2
"OKYL029_3";"YALI1_E24287g";2
"OKYL029_3";"YALI1_E02850g";2
"OKYL029_3";"YALI1_F21453g";2
"OKYL049_116";"YALI1_A01298g";1
"OKYL049_116";"YALI1_D07252g";1
"OKYL049_116";"YALI1_B05639g";1
"OKYL049_116";"YALI1_F23616g";1
"OKYL049_116";"YALI1_C01505g";1
"OKYL049_116";"YALI1_D07257g";1
"OKYL049_116";"YALI1_E08689g";1
"OKYL049_116";"YALI1_B05609g";1
"OKYL049_116";"YALI1_D06988g";1
"OKYL049_116";"YALI1_C29402g";1
"OKYL049_116";"YALI1_D16354g";1
"OKYL049_116";"YALI1_A01394g";2
"OKYL049_116";"YALI1_F21989g";2
"OKYL049_116";"YALI1_A07161g";2
"OKYL049_116";"YALI1_F04345g";2
"OKYL049_116";"YALI1_E09750g";2
"OKYL049_116";"YALI1_F12895g";2
"OKYL049_116";"YALI1_F09088g";2
"OKYL049_116";"YALI1_E12893g";2
"OKYL049_116";"YALI1_E12919g";2
"OKYL049_116";"YALI1_D25370g";2
"OKYL049_116";"YALI1_D08082g";2
"OKYL049_116";"YALI1_C25747g";2
"OKYL049_116";"YALI1_F33403g";2
"OKYL049_116";"YALI1_E41251g";2
"OKYL049_116";"YALI1_D25104g";2
"OKYL049_3";"YALI1_C01505g";1
"OKYL049_3";"YALI1_A01298g";1
"OKYL049_3";"YALI1_F23616g";1
"OKYL049_3";"YALI1_B08247g";1
"OKYL049_3";"YALI1_F18696g";1
"OKYL049_3";"YALI1_C01520g";1
"OKYL049_3";"YALI1_D00406g";1
"OKYL049_3";"YALI1_C29576g";1
"OKYL049_3";"YALI1_C29485g";1
"OKYL049_3";"YALI1_E21638g";1
"OKYL049_3";"YALI1_D02488g";1
"OKYL049_3";"YALI1_E08689g";1
"OKYL049_3";"YALI1_C21241g";1
"OKYL049_3";"YALI1_D03380g";1
"OKYL049_3";"YALI1_E27625g";2
"OKYL049_3";"YALI1_E27406g";2
"OKYL049_3";"YALI1_D22906g";2
"OKYL049_3";"YALI1_A16918g";2
"OKYL049_3";"YALI1_F21676g";2
"OKYL049_3";"YALI1_B29360g";2
"OKYL049_3";"YALI1_F13170g";2
"OKYL049_3";"YALI1_A16952g";2
"OKYL049_3";"YALI1_F16165g";2
"OKYL049_3";"YALI1_E22503g";2
"OKYL049_3";"YALI1_D09322g";2
"OKYL049_3";"YALI1_E17754g";2
"OKYL049_3";"YALI1_E24287g";2
"OKYL049_3";"YALI1_F38466g";2
"OKYL049_3";"YALI1_A16944g";2
"OKYL049_3";"YALI1_A16314g";2
"OKYL049_3";"YALI1_B29080g";2
"OKYL049_3";"YALI1_B30303g";2
"OKYL049_3";"YALI1_F35508g";2
"OKYL049_3";"YALI1_A20965g";2
"OKYL049_3";"YALI1_C19775g";2
"OKYL049_3";"YALI1_E31154g";2
"OKYL049_3";"YALI1_F15878g";2
"OKYL049_3";"YALI1_E21555g";2
"OKYL049_3";"YALI1_D08621g";2
"OKYL049_3";"YALI1_E05599g";2
"OKYL049_3";"YALI1_B12195g";2
"OKYL049_3";"YALI1_E21535g";2
"OKYL049_3";"YALI1_E00746g";2
"OKYL049_3";"YALI1_D15458g";2
"OKYL049_3";"YALI1_C03596g";2
"OKYL049_3";"YALI1_C29355g";2
"OKYL049_3";"YALI1_B20493g";2
"OKYL049_3";"YALI1_E17643g";2
"OKYL049_3";"YALI1_E21552g";2
"OKYL049_3";"YALI1_C15186g";2
"OKYL049_3";"YALI1_C07087r";2
"OKYL049_3";"YALI1_E28808g";2
"OKYL049_3";"YALI1_F39183g";2
"OKYL049_3";"YALI1_C28497g";2
"OKYL049_3";"YALI1_B08207g";2
"OKYL049_3";"YALI1_E31031g";2
"OKYL049_3";"YALI1_F11635g";2
"OKYL049_3";"YALI1_B17853g";2
